PSNR,SSIM,LPIPS,mask_type,parameter_k,image_name
23.61985206604004,0.4818751811981201,0.3812251687049866,chessboard,chessboard_k=1,lemon_blue_surface.png
13.96605110168457,0.2208017110824585,0.462708055973053,chessboard,chessboard_k=4,woman_tending_garden.png
18.554058074951172,0.6733066439628601,0.28112512826919556,chessboard,chessboard_k=4,view_mountains_lake.png
18.44283676147461,0.4990483820438385,0.31323277950286865,chessboard,chessboard_k=4,field_red_flowers.png
23.589805603027344,0.6644167900085449,0.24048081040382385,chessboard,chessboard_k=4,bowl_fruit_wooden.png
20.103862762451172,0.5803098082542419,0.3194639980792999,chessboard,chessboard_k=4,blue_pink_toy.png
20.8001766204834,0.6967669129371643,0.22387412190437317,chessboard,chessboard_k=4,watch_wrist.png
20.06236457824707,0.8129189610481262,0.2675186097621918,chessboard,chessboard_k=4,row_rubber_ducks.png
18.365137100219727,0.3803987503051758,0.41417381167411804,chessboard,chessboard_k=4,pizza_box_pizza.png
17.084856033325195,0.2446335107088089,0.40030068159103394,chessboard,chessboard_k=4,rocky_beach_large.png
23.878103256225586,0.4984852075576782,0.2964611351490021,chessboard,chessboard_k=4,lemon_blue_surface.png
13.59764575958252,0.23736345767974854,0.457209050655365,chessboard,chessboard_k=8,woman_tending_garden.png
17.106752395629883,0.6649578213691711,0.30000799894332886,chessboard,chessboard_k=8,view_mountains_lake.png
14.981371879577637,0.4120349884033203,0.3875143826007843,chessboard,chessboard_k=8,field_red_flowers.png
20.508281707763672,0.6615012884140015,0.24054983258247375,chessboard,chessboard_k=8,bowl_fruit_wooden.png
18.323759078979492,0.5510650277137756,0.38114869594573975,chessboard,chessboard_k=8,blue_pink_toy.png
19.77660369873047,0.7075255513191223,0.2366524338722229,chessboard,chessboard_k=8,watch_wrist.png
17.790861129760742,0.7635217308998108,0.36073964834213257,chessboard,chessboard_k=8,row_rubber_ducks.png
18.322086334228516,0.39578965306282043,0.39549538493156433,chessboard,chessboard_k=8,pizza_box_pizza.png
16.574350357055664,0.26078036427497864,0.38501882553100586,chessboard,chessboard_k=8,rocky_beach_large.png
21.556161880493164,0.5130346417427063,0.2763459384441376,chessboard,chessboard_k=8,lemon_blue_surface.png
13.875899314880371,0.2397465705871582,0.4491645097732544,chessboard,chessboard_k=6,woman_tending_garden.png
18.16526985168457,0.67486971616745,0.27678149938583374,chessboard,chessboard_k=6,view_mountains_lake.png
17.49526023864746,0.5019556879997253,0.30065903067588806,chessboard,chessboard_k=6,field_red_flowers.png
22.380733489990234,0.6567436456680298,0.22676004469394684,chessboard,chessboard_k=6,bowl_fruit_wooden.png
19.961490631103516,0.5925973057746887,0.30712178349494934,chessboard,chessboard_k=6,blue_pink_toy.png
20.449508666992188,0.7114918828010559,0.20800477266311646,chessboard,chessboard_k=6,watch_wrist.png
19.58713722229004,0.8211720585823059,0.20668044686317444,chessboard,chessboard_k=6,row_rubber_ducks.png
18.224294662475586,0.38729920983314514,0.4021257758140564,chessboard,chessboard_k=6,pizza_box_pizza.png
16.92727279663086,0.25298789143562317,0.3892708420753479,chessboard,chessboard_k=6,rocky_beach_large.png
22.00795555114746,0.5011817812919617,0.29116368293762207,chessboard,chessboard_k=6,lemon_blue_surface.png
14.234026908874512,0.20340122282505035,0.49017971754074097,chessboard,chessboard_k=2,woman_tending_garden.png
19.090803146362305,0.6684727668762207,0.29852527379989624,chessboard,chessboard_k=2,view_mountains_lake.png
18.92574119567871,0.48878219723701477,0.3145633637905121,chessboard,chessboard_k=2,field_red_flowers.png
23.794403076171875,0.6356507539749146,0.2728795111179352,chessboard,chessboard_k=2,bowl_fruit_wooden.png
21.04474639892578,0.5831859111785889,0.33337247371673584,chessboard,chessboard_k=2,blue_pink_toy.png
22.138973236083984,0.7131816744804382,0.23330055177211761,chessboard,chessboard_k=2,watch_wrist.png
22.332826614379883,0.8304672241210938,0.1953350007534027,chessboard,chessboard_k=2,row_rubber_ducks.png
18.386667251586914,0.36220040917396545,0.43748530745506287,chessboard,chessboard_k=2,pizza_box_pizza.png
17.10963249206543,0.22961895167827606,0.4324858784675598,chessboard,chessboard_k=2,rocky_beach_large.png
24.15962791442871,0.4990905225276947,0.32654500007629395,chessboard,chessboard_k=2,lemon_blue_surface.png
14.040105819702148,0.23911863565444946,0.4586487412452698,row_slit,"row_slit_3,3",woman_tending_garden.png
17.513002395629883,0.6527978777885437,0.3135209381580353,row_slit,"row_slit_3,3",view_mountains_lake.png
16.268644332885742,0.40519025921821594,0.41761845350265503,row_slit,"row_slit_3,3",field_red_flowers.png
21.63850975036621,0.6477985382080078,0.22698991000652313,row_slit,"row_slit_3,3",bowl_fruit_wooden.png
19.527326583862305,0.5518009066581726,0.3622390627861023,row_slit,"row_slit_3,3",blue_pink_toy.png
20.84538459777832,0.7120898365974426,0.23284702003002167,row_slit,"row_slit_3,3",watch_wrist.png
18.232454299926758,0.7667638659477234,0.2989913821220398,row_slit,"row_slit_3,3",row_rubber_ducks.png
17.925308227539062,0.3866141736507416,0.40683165192604065,row_slit,"row_slit_3,3",pizza_box_pizza.png
16.69701385498047,0.24699465930461884,0.4015367031097412,row_slit,"row_slit_3,3",rocky_beach_large.png
24.245994567871094,0.5222201943397522,0.27319082617759705,row_slit,"row_slit_3,3",lemon_blue_surface.png
